,ingredient_amount,ingredient_unit,ingredient_name,type_string,type_num,cocktail_id,cocktail_name
275,14.78675,ml,Demerara syrup (2:1),General,0,48,Le Nouveau Moureaux
276,2,ds,Grapefruit bitters,General,0,48,Le Nouveau Moureaux
277,36.966875,ml,Rye,Whisky,4,49,Nude Descending a Staircase
278,22.180125,ml,Aquavit,Spirits,21,49,Nude Descending a Staircase
279,14.78675,ml,Suze,Liqueur,10,49,Nude Descending a Staircase
280,2,ds,"Bitters, Bittermens Xocolatl Mole",General,0,49,Nude Descending a Staircase
281,1,twst,Orange peel,General,0,49,Nude Descending a Staircase
282,40.6635625,ml,"Tequila, Calle 23 (Anejo)",Tequila,6,50,Nutty Aztec
283,29.5735,ml,Vodka,Vodka,3,50,Nutty Aztec
284,19.715666666666664,ml,Triple sec (Monin),Liqueur,10,50,Nutty Aztec
285,29.5735,ml,Lime juice,General,0,50,Nutty Aztec
286,19.715666666666664,ml,Aquafaba,General,0,50,Nutty Aztec
287,5,dr,"Aztec Chocolate bitters, Fee Brothers",General,0,50,Nutty Aztec
288,59.147,ml,Gin (Ki No Bi Kyoto Dry Gin),Gin,1,51,Number 6
289,14.78675,ml,Chambord,Liqueur,10,51,Number 6
290,14.78675,ml,Yuzu juice,General,0,51,Number 6
291,1,t,Simple syrup (Blank Slate Black Pepper Rich Simple Syrup),General,0,51,Number 6
292,14.78675,ml,"Walnut Liqueur, Nux Alpina",Liqueur,10,52,Nutty Frenchman
293,14.78675,ml,"Bitters, Angostura",General,0,52,Nutty Frenchman
294,22.180125,ml,"Orange liqueur, Grand Marnier",Liqueur,10,52,Nutty Frenchman
295,7.393375,ml,"Amaretto, Disaronno",Liqueur,10,52,Nutty Frenchman
296,29.5735,ml,Heavy Cream,General,0,52,Nutty Frenchman
297,1,sli,Orange peel,General,0,52,Nutty Frenchman
298,44.36025,ml,Mezcal (Smoky),Mezcal,20,53,Oaxaca Forever
299,22.180125,ml,"Coffee liqueur, Bittermens New Orleans Coffee",Liqueur,10,53,Oaxaca Forever
300,14.78675,ml,Fernet Vallet,Liqueur,10,53,Oaxaca Forever
301,44.36025,ml,Vodka,Vodka,3,54,O'Hana
302,14.78675,ml,Orgeat,General,0,54,O'Hana
303,14.78675,ml,Lemon juice,General,0,54,O'Hana
304,7.393375,ml,Passion fruit syrup,General,0,54,O'Hana
305,7.393375,ml,Orange juice,General,0,54,O'Hana
