,ingredient_amount,ingredient_unit,ingredient_name,type_string,type_num,cocktail_id,cocktail_name,url
143,1,dash,Angostura Aromatic Bitters,General,0,3020,Barbara West,https://www.diffordsguide.com/cocktails/recipe/168/barbara-west
144,2,drop,Saline solution,General,0,3020,Barbara West,https://www.diffordsguide.com/cocktails/recipe/168/barbara-west
145,,,Lemon zest twist,Garnish,11,3020,Barbara West,https://www.diffordsguide.com/cocktails/recipe/168/barbara-west
146,30,ml,Caribbean blended rum aged 6-10 years,Rum,2,3021,Pineapple Kingston Negroni,https://www.diffordsguide.com/cocktails/recipe/16511/pineapple-kingston-negroni
147,30,ml,Pineapple rum,Rum,2,3021,Pineapple Kingston Negroni,https://www.diffordsguide.com/cocktails/recipe/16511/pineapple-kingston-negroni
148,22.5,ml,Rosso/rouge (sweet) vermouth,Wine,8,3021,Pineapple Kingston Negroni,https://www.diffordsguide.com/cocktails/recipe/16511/pineapple-kingston-negroni
149,22.5,ml,Italian red bitter liqueur,Liqueur,10,3021,Pineapple Kingston Negroni,https://www.diffordsguide.com/cocktails/recipe/16511/pineapple-kingston-negroni
150,,,Orange zest twist,Garnish,11,3021,Pineapple Kingston Negroni,https://www.diffordsguide.com/cocktails/recipe/16511/pineapple-kingston-negroni
151,60,ml,Calvados & straight applejacks,Brandy,5,3022,Calvados Daiquiri,https://www.diffordsguide.com/cocktails/recipe/16509/calvados-daiquiri
152,15,ml,Lime juice,General,0,3022,Calvados Daiquiri,https://www.diffordsguide.com/cocktails/recipe/16509/calvados-daiquiri
153,15,ml,Sugar syrup (rich),General,0,3022,Calvados Daiquiri,https://www.diffordsguide.com/cocktails/recipe/16509/calvados-daiquiri
154,7.5,ml,Lemon juice,General,0,3022,Calvados Daiquiri,https://www.diffordsguide.com/cocktails/recipe/16509/calvados-daiquiri
155,10,ml,Water (chilled),General,0,3022,Calvados Daiquiri,https://www.diffordsguide.com/cocktails/recipe/16509/calvados-daiquiri
156,,,Dehydrated lime wheel slice,Garnish,11,3022,Calvados Daiquiri,https://www.diffordsguide.com/cocktails/recipe/16509/calvados-daiquiri
157,60,ml,Rémy Martin 1738 Cognac,Brandy,5,3023,Newport,https://www.diffordsguide.com/cocktails/recipe/16597/newport
158,15,ml,Crème de noyau liqueur,Liqueur,10,3023,Newport,https://www.diffordsguide.com/cocktails/recipe/16597/newport
