,ingredient_amount,ingredient_unit,ingredient_name,type_string,type_num,cocktail_id,cocktail_name,ingredient_id,db_cocktail_ingredient_name,db_ingredient_name
3144,22.20,ml,Averna,Liqueur,10,560,The Black Watch,137,averna,averna
3145,14.80,ml,"Sweet vermouth, Carpano Punt e Mes",Wine,8,560,The Black Watch,1734,"sweet vermouth, carpano punt e mes","sweet vermouth, carpano punt e mes"
3146,2,ds,"Bitters, Fee Brothers Black Walnut",General,0,560,The Black Watch,260,"bitters, fee brothers black walnut",bitters
3147,1⁄2,c,Mint,General,0,561,Blackberry-Mint Julep,1213,mint,mint
3148,1,pt,Blackberry,General,0,561,Blackberry-Mint Julep,262,blackberry,blackberry
3149,6,T,Sugar,General,0,561,Blackberry-Mint Julep,1718,sugar,sugar
3150,1⁄2,c,Bourbon,Whisky,4,561,Blackberry-Mint Julep,320,bourbon,bourbon
3151,4,c,Ice,General,0,561,Blackberry-Mint Julep,983,ice,ice
3152,4,spg,Mint,General,0,561,Blackberry-Mint Julep,1213,mint,mint
3153,59.10,ml,Rye,Whisky,4,562,Black Tea Crusta In The Rye,1584,rye,rye
3154,14.80,ml,Orange Curaçao,Liqueur,10,562,Black Tea Crusta In The Rye,1268,orange curaçao,orange curaçao
3155,14.80,ml,Lemon juice,General,0,562,Black Tea Crusta In The Rye,1085,lemon juice,lemon juice
3156,14.80,ml,Simple syrup (black tea infused),General,0,562,Black Tea Crusta In The Rye,1758,simple syrup (black tea infused),tea
3157,2,ds,Orange bitters,General,0,562,Black Tea Crusta In The Rye,1264,orange bitters,orange bitters
3158,44.40,ml,Light rum,Rum,2,563,Blackberry Daiquiri,1099,light rum,light rum
3159,29.60,ml,Lime juice,General,0,563,Blackberry Daiquiri,1118,lime juice,lime juice
3160,14.80,ml,"Elderflower liqueur, St. Germain",Liqueur,10,563,Blackberry Daiquiri,738,"elderflower liqueur, st. germain","elderflower liqueur, st. germain"
3161,7.40,ml,Simple syrup,General,0,563,Blackberry Daiquiri,1656,simple syrup,simple syrup
3162,4,,Blackberry,Garnish,11,563,Blackberry Daiquiri,261,blackberry,blackberry
3163,1,ds,Grapefruit Bitters,General,0,563,Blackberry Daiquiri,906,grapefruit bitters,grapefruit bitters
3164,59.10,ml,"Demerara Rum, El Dorado 8",Rum,2,564,Blackcurrant Knickerbocker,679,"demerara rum, el dorado 8","demerara rum, el dorado 8"
3165,29.60,ml,Lemon juice,General,0,564,Blackcurrant Knickerbocker,1085,lemon juice,lemon juice
3166,14.80,ml,"Triple sec, Cointreau",Liqueur,10,564,Blackcurrant Knickerbocker,1793,"triple sec, cointreau","triple sec, cointreau"
3167,7.40,ml,Cassis,General,0,564,Blackcurrant Knickerbocker,429,cassis,cassis
3168,7.40,ml,Blackcurrant preserves,General,0,564,Blackcurrant Knickerbocker,267,blackcurrant preserves,blackcurrant preserves
